geonameid;name;asciiname;latitude;longitude;feature code
3049825;Kismindszenti Út Vasúti Megállóhely;Kismindszenti Ut Vasuti Megallohely;46,7500;19,8833;RSTP
3049881;Kiskunfélegyházi Út Vasúti Megállóhely;Kiskunfelegyhazi Ut Vasuti Megallohely;46,8500;19,7333;RSTP
3049883;Kiskunfélegyházi Gépállomás Vasúti Megállóhely;Kiskunfelegyhazi Gepallomas Vasuti Megallohely;46,8167;19,8500;RSTP
3050021;Kisfái Vasúti Megállóhely;Kisfai Vasuti Megallohely;46,8833;19,8000;RSTP
3050042;Kisdobsza Vasúti Megállóhely;Kisdobsza Vasuti Megallohely;46,0167;17,6667;RSTP
3050151;Királyegyháza-Rigópuszta Vasúti Megállóhely;Kiralyegyhaza-Rigopuszta Vasuti Megallohely;46,0000;17,9667;RSTP
3050167;Kilimán Vasúti Megállóhely;Kiliman Vasuti Megallohely;46,6333;17,0000;RSTP
3050171;Kiliántelep Vasúti Megállóhely;Kiliantelep Vasuti Megallohely;46,9000;17,7833;RSTP
3050193;Kétújfalu Vasútállomás;Ketujfalu Vasutallomas;45,9833;17,7167;RSTP
3050329;Kén Utca Vasúti Megállóhely;Ken Utca Vasuti Megallohely;47,4556;19,0858;RSTP
3050364;Kemenespálfa Vasúti Megállóhely;Kemenespalfa Vasuti Megallohely;47,1398;17,1836;RSTP
3050366;Kemenesmihályfa Vasúti Megállóhely;Kemenesmihalyfa Vasuti Megallohely;47,2790;17,1089;RSTP
3050374;Kemendollár Vasúti Megállóhely;Kemendollar Vasuti Megallohely;46,9000;16,9667;RSTP
3050425;Kecskéscsárda Vasúti Megállóhely;Kecskescsarda Vasuti Megallohely;47,1833;19,9167;RSTP
3050428;Kecskemét-Parasztfőiskola Vasúti Megállóhely;Kecskemet-Parasztfoiskola Vasuti Megallohely;46,9000;19,7167;RSTP
3050446;Kecskéd Alsó Vasúti Megállóhely;Kecsked Also Vasuti Megallohely;47,5167;18,3167;RSTP
3050451;Kecel-Szilos Vasúti Megállóhely;Kecel-Szilos Vasuti Megallohely;46,5167;19,2000;RSTP
3050509;Kastélyosdombó Vasúti Megállóhely;Kastelyosdombo Vasuti Megallohely;45,9500;17,6167;RSTP
3050579;Karakószörcsök Vasúti Megállóhely;Karakoszorcsok Vasuti Megallohely;47,1337;17,2876;RSTP
3050602;Káptalanfüred Vasúti Megállóhely;Kaptalanfured Vasuti Megallohely;47,0119;18,0057;RSTP
3050614;Kaposvár-Közvágóhíd Vasúti Megállóhely;Kaposvar-Kozvagohid Vasuti Megallohely;46,3667;17,8333;RSTP
3050615;Kaposvári Textilművek Vasúti Megállóhely;Kaposvari Textilmuvek Vasuti Megallohely;46,3833;17,8000;RSTP
3050617;Kaposújlak Vasúti Megállóhely;Kaposujlak Vasuti Megallohely;46,3671;17,7243;RSTP
3050621;Kaposszekcső Vasúti Megállóhely;Kaposszekcso Vasuti Megallohely;46,3333;18,1500;RSTP
3050624;Kapospula Vasúti Megállóhely;Kapospula Vasuti Megallohely;46,3833;18,1000;RSTP
3050629;Kaposhomok Vasúti Megállóhely;Kaposhomok Vasuti Megallohely;46,3677;17,9206;RSTP
3050661;Kapitányság Vasúti Megállóhely;Kapitanysag Vasuti Megallohely;46,4333;19,9833;RSTP
3050753;Kákics Vasúti Megállóhely;Kakics Vasuti Megallohely;45,9000;17,8500;RSTP
3050777;Kajdacs Vasúti Megállóhely;Kajdacs Vasuti Megallohely;46,5881;18,6499;RSTP
3050784;Kádárta Vasúti Megállóhely;Kadarta Vasuti Megallohely;47,1259;17,9531;RSTP
3050791;Kabókapuszta Vasúti Megállóhely;Kabokapuszta Vasuti Megallohely;46,9000;18,2667;RSTP
3050871;Jobbágyi Vasúti Megállóhely;Jobbagyi Vasuti Megallohely;47,8333;19,6833;RSTP
3051108;Ipolyszög Vasúti Megállóhely;Ipolyszog Vasuti Megallohely;48,0500;19,2167;RSTP
3051119;Inota Vasúti Megállóhely;Inota Vasuti Megallohely;47,1974;18,1712;RSTP
3051149;Ilonaszállás Vasúti Megállóhely;Ilonaszallas Vasuti Megallohely;46,5833;19,8000;RSTP
3051182;Iklódbördőce Vasúti Megállóhely;Iklodbordoce Vasuti Megallohely;46,6000;16,6167;RSTP
3051186;Iklad-Domony Felső Vasúti Megállóhely;Iklad-Domony Felso Vasuti Megallohely;47,6701;19,4236;RSTP
3051239;Hugyag Vasúti Megállóhely;Hugyag Vasuti Megallohely;48,0827;19,4231;RSTP
3051279;Hosszúhetény Vasúti Megállóhely;Hosszuheteny Vasuti Megallohely;46,1354;18,3671;RSTP
3051303;Hosszúberek-Péteri Vasúti Megállóhely;Hosszuberek-Peteri Vasuti Megallohely;47,3721;19,3902;RSTP
3051352;Homokterenye Vasúti Megállóhely;Homokterenye Vasuti Megallohely;48,0261;19,9569;RSTP
3051475;Hévízgyörk Vasúti Megállóhely;Hevizgyork Vasuti Megallohely;47,6333;19,5167;RSTP
3051479;Hetvehely Vasúti Megállóhely;Hetvehely Vasuti Megallohely;46,1333;18,0500;RSTP
3051508;Heresznye Vasúti Megállóhely;Heresznye Vasuti Megallohely;46,0667;17,3000;RSTP
3051764;Hanság-Nagyerdő Vasúti Megállóhely;Hansag-Nagyerdo Vasuti Megallohely;47,7411;17,1891;RSTP
3051766;Hanságliget Vasúti Megállóhely;Hansagliget Vasuti Megallohely;47,7200;17,2155;RSTP
3051811;Halesz Vasúti Megállóhely;Halesz Vasuti Megallohely;46,6667;19,8167;RSTP
3051833;Halászaranyos Vasúti Megállóhely;Halaszaranyos Vasuti Megallohely;47,7167;19,9500;RSTP
3051855;Halasi Tanyák Vasúti Megállóhely;Halasi Tanyak Vasuti Megallohely;46,4500;19,5667;RSTP
3051880;Hajmáskér-Újtelep Vasúti Megállóhely;Hajmasker-Ujtelep Vasuti Megallohely;47,1479;18,0397;RSTP
3051962;Győrvár Vasúti Megállóhely;Gyorvar Vasuti Megallohely;46,9833;16,8500;RSTP
3051986;Győri Ipartelepek Vasúti Megállóhely;Gyori Ipartelepek Vasuti Megallohely;47,6847;17,6628;RSTP
3052012;Gyón Vasúti Megállóhely;Gyon Vasuti Megallohely;47,1803;19,3528;RSTP
3052032;Gyöngyöshermán Vasúti Megállóhely;Gyongyosherman Vasuti Megallohely;47,2028;16,6571;RSTP
3052033;Gyöngyöshalász Vasúti Megállóhely;Gyongyoshalasz Vasuti Megallohely;47,7442;19,9322;RSTP
3052041;Gyöngyfa-Magyarmecske Vasúti Megállóhely;Gyongyfa-Magyarmecske Vasuti Megallohely;45,9833;17,9667;RSTP
