geo_id;city;name;latitude;longitude
719889;Hortobágyi Halastó;Hortobágyi Halastó Vasútállomás;47.6;21.0833
3044189;Tajó;Tajó Vasútállomás;46.4667;19.6833
722618;Balsa;Balsa Vasútállomás;48.1667;21.5667
717823;Máriapócs;Máriapócs Vasútállomás;47.85;22.0167
717654;Mezőkovácsháza;Mezőkovácsháza Vasútállomás;46.4;20.9167
3056013;Alsóúrrét;Alsóúrrét Vasúti Megállóhely;46.9;19.7833
3053473;Dunakeszi;Dunakeszi Vasútállomás;47.6333;19.1333
716697;Őszeszék;Őszeszék Vasúti Megállóhely;46.3833;20.0167
3047177;Okorág-Kárászpuszta;Okorág-Kárászpuszta Vasúti Megállóhely;45.9333;17.8667
3048593;Magyarkút;Magyarkút Vasúti Megállóhely;47.8481;19.0473
714850;Tenyőszállás;Tenyőszállás Vasúti Megállóhely;47.15;20.35
3044423;Szil-Sopronnémeti;Szil-Sopronnémeti Vasútállomás;47.533;17.209
720001;Heves;Heves Vasútállomás;47.6167;20.3167
3043983;Tengelic;Tengelic Vasúti Megállóhely;46.5167;18.7167
3046341;Pilis;Pilis Vasútállomás;47.2667;19.55
720254;Haláp;Haláp Vasúti Megállóhely;47.5167;21.8167
3044226;Szurdokpüspöki;Szurdokpüspöki Vasútállomás;47.85;19.6833
718264;Kútvölgy;Kútvölgyi Gyógyintézet Vasútállomás;46.4667;20.4667
3052509;Füle;Füle Vasúti Megállóhely;47.05;18.25
717698;Méra;Méra Vasúti Megállóhely;48.3667;21.1333
3048601;Magyarhertelend;Magyarhertelend Vasúti Megállóhely;46.2;18.1667
3050626;Kaposmérő;Kaposmérő Vasútállomás;46.3667;17.7
3050624;Kapospula;Kapospula Vasúti Megállóhely;46.3833;18.1
722497;Bashalom;Bashalom Vasúti Megállóhely;48.0333;21.5167
3052905;Felsőgalla;Felsőgalla Vasútállomás;47.55;18.45
717243;Nagylaki Kendergyár;Nagylaki Kendergyár Vasúti Megállóhely;46.1833;20.7167
720504;Golop;Golop Vasúti Megállóhely;48.25;21.2
723027;Abony;Abony Vasútállomás;47.1667;20.0167
3049313;Kővágóér;Kővágóér Vasúti Megállóhely;46.65;19.8167
3051190;Ihász;Ihász Vasútállomás;47.3812;17.4011
3052421;Galgaguta;Galgaguta Vasútállomás;47.85;19.3833
3050602;Káptalanfüred;Káptalanfüred Vasúti Megállóhely;47.0119;18.0057
3044882;Szárföld;Szárföld Vasútállomás;47.5892;17.1224
720052;Hékéd;Hékéd Vasúti Megállóhely;46.6833;20.2667
719638;Jászladány;Jászladány Vasútállomás;47.3667;20.15
722435;Békéscsaba;Békéscsaba Vasútállomás;46.6833;21.0833
3042986;Véménd;Véménd Vasútállomás;46.15;18.6167
717525;Mónosbél;Mónosbél Vasútállomás;48.05;20.3333
714592;Tornyos;Tornyospálca Vasútállomás;48.2667;22.2
3050617;Kaposújlak;Kaposújlak Vasúti Megállóhely;46.3671;17.7243
719690;Jám;Jámborhalom Vasúti Megállóhely;46.75;20.3
3056069;Alsórönök;Alsórönök Vasúti Megállóhely;46.9667;16.3833
720845;Fényeslitke;Fényeslitke Vasútállomás;48.2667;22.1167
720269;Hajdúvölgy;Hajdúvölgy Vasúti Megállóhely;46.65;20.6833
714264;Vámospércs;Vámospércs Vasútállomás;47.5167;21.9
718519;Körösszakál;Körösszakál Vasútállomás;47.0;21.6167
3050057;Kiscséripuszta;Kiscséripuszta Vasútállomás;47.0468;18.3539
3045969;Rákoskert;Rákoskert Vasúti Megállóhely;47.4569;19.2958
721557;Csorvás;Csorvás Vasútállomás;46.6167;20.8333
716384;Piros;Piroska Vasúti Megállóhely;47.15;20.1333
3047799;Nagybátony;Nagybátony Vasútállomás;47.9837;19.8211
3045299;Soltszentimre;Soltszentimre Vasúti Megállóhely;46.7667;19.2667
722600;Bánhidymajor;Bánhidymajor Vasúti Megállóhely;46.4667;21.2167
3042695;Vörs;Vörs Vasúti Megállóhely;46.6667;17.2667
718734;Kisvarsány;Kisvarsány Vasúti Megállóhely;48.15;22.3
722120;Boldogkőváralja;Boldogkőváralja Vasúti Megállóhely;48.35;21.2833
3055622;Bakonyszentlászló;Bakonyszentlászló Vasútállomás;47.4;17.8167
3042568;Zánka-Köveskál;Zánka-Köveskál Vasútállomás;46.8725;17.6874
722674;Balástya;Balástya Vasútállomás;46.4167;20.0
3046791;Pácsony;Pácsony Vasútállomás;47.0167;16.8333
3045383;Seregélyes-Szőlőhegy;Seregélyes-Szőlőhegy Vasúti Megállóhely;47.1167;18.5833
3042510;Zrínyitelep;Zrínyitelep Vasúti Megállóhely;46.2833;17.1333
721362;Dobaipuszta;Dobaipuszta Vasúti Megállóhely;46.9667;21.3
3052803;Felsőmocsolád;Felsőmocsolád Vasútállomás;46.5596;17.8219
3042996;Velencefürdő;Velencefürdő Vasúti Megállóhely;47.2134;18.64
3055843;Árpádszállás;Árpádszállás Vasúti Megállóhely;46.8667;19.9833
3043099;Városlőd-Kislőd;Városlőd-Kislőd Vasútállomás;47.1333;17.6301
721623;Csobád;Csobád Vasúti Megállóhely;48.2833;21.0333
716454;Perkupa;Perkupa Vasúti Megállóhely;48.4667;20.7
3044074;Tata;Tata Vasútállomás;47.6667;18.3333
716201;Rákhát;Rákhát Vasúti Megállóhely;47.5167;20.45
3048248;Mecsekpölöske;Mecsekpölöske Vasúti Megállóhely;46.2167;18.2167
3046053;Rábapordány;Rábapordány Vasútállomás;47.5572;17.3152
718086;Ligettanya;Ligettanya Vasútállomás;47.95;22.0833
3055263;Becehegy;Becehegy Vasúti Megállóhely;46.7833;17.3833
3051179;Ikrény;Ikrény Vasútállomás;47.6577;17.5231
715352;Szendrőlád;Szendrőlád Vasútállomás;48.3333;20.7333
3048606;Harka;Harka Vasútállomás;47.6418;16.6189
3048325;Martonvásár;Martonvásár Vasútállomás;47.3167;18.7833
722850;Apagy;Apagy Vasútállomás;47.95;21.9333
718310;Kunszentmárton;Kunszentmárton Vasútállomás;46.85;20.3
714781;Tiszadada;Tiszadada Vasútállomás;48.0167;21.25
3043110;Városföld;Városföld Vasútállomás;46.8167;19.7533
3049460;Kópháza;Kópháza Vasúti Megállóhely;47.6328;16.637
715312;Szepeshalom;Szepeshalom Vasúti Megállóhely;47.4781;21.599
722963;Algyő;Algyő Vasútállomás;46.35;20.2
720642;Gádoros;Gádoros Vasútállomás;46.65;20.6167
3054704;Botykapeterd;Botykapeterd Vasúti Megállóhely;46.05;17.8667
3050926;Jánossomorja;Jánossomorja Vasútállomás;47.7891;17.1375
3050902;Jászfényszaru;Jászfényszaru Vasútállomás;47.5932;19.7532
3053854;Csurgó;Csurgó Vasútállomás;46.2667;17.1
719684;Jánkmajtis;Jánkmajtis Vasútállomás;47.8667;22.65
714713;Tiszaszentimre;Tiszaszentimre Vasútállomás;47.5;20.7333
3045331;Siófok;Siófok Vasútállomás;46.9;18.05
3053834;Dabas;Dabas Vasútállomás;47.1924;19.3317
717852;Mándok;Mándok Vasútállomás;48.3167;22.2
3046246;Polgárdi-Ipartelepek;Polgárdi-Ipartelepek Vasútállomás;47.0833;18.3167
3045214;Somogyudvarhely;Somogyudvarhely Vasútállomás;46.1667;17.1833
3053622;Döbrököz;Döbrököz Vasútállomás;46.4167;18.2667
715370;Szellőhát;Szellőhát Vasúti Megállóhely;47.4333;20.2
717581;Miskolc-Gömöri;Miskolc-Gömöri Pályaudvar;48.1126;20.7985
8410969;Hegykő;Hegykő Vasúti Megállóhely;47.6007;16.8167
3055678;Baja;Baja Vasútállomás;46.1833;18.9667
719008;Kiscsákó;Kiscsákó Vasúti Megállóhely;46.7167;20.7167
