vonalId;sorszam;geoid
30;20;3055591
30;21;3055517
30;22;3052400
30;23;3045331
30;24;3042577
30;25;3055567
30;26;3055534
30;27;3055532
30;28;3055549
30;29;3055583
30;30;3052572
30;31;3052571
30;32;3055208
30;33;3056269
30;34;3055573
30;35;3055545
30;36;3055585
30;37;3055530
30;38;3042695
30;39;3045435
30;40;3042620
30;41;3042595
30;42;3047575
30;43;3047677
30b;1;3055530
30b;2;3052691
30b;3;3050209
30b;4;3056206
30b;5;3052068
30b;6;3042745
30b;7;3055560
30b;8;3055263
30b;9;3055579
30b;10;3045947
30b;11;3044137
35;1;3050612
35;2;3043805
35;3;3045885
35;4;3045244
35;5;3045249
35;6;3048156
35;7;3052803
35;8;3050100
35;9;3054812
35;10;3055987
35;11;3050586
35;12;3050640
35;13;3044200
35;14;3055769
35;15;3053801
35;16;3045253
35;17;3056417
35;18;3045329
35;19;3045331
36;1;3050612
36;2;3050634
36;3;3045228
36;4;3046836
36;5;3046702
36;6;3045211
36;7;3046982
36;8;3048851
36;9;3053020
36;10;3052571
37;1;3045218
37;2;3045410
37;3;3052947
37;4;3054873
37;5;3048124
37;6;3054971
37;7;3048453
37;8;3050202
37;9;3055520
37;10;3055552
37;11;3055585
37;12;3055530
38;1;3047817
38;2;3045218
40;1;3054641
40;2;3054636
40;3;3054661
40;4;3054629
40;5;3047501
40;6;3053273
40;7;3053227
40;8;3044820
40;9;3053480
40;10;3053282
40;11;3051034
40;12;3046086
40;13;3045036
40;14;3045509
40;15;3047629
40;16;3045563
40;17;3045491
40;18;3045841
40;19;3045340
40;20;3043842
40;21;3046335
40;22;3055197
40;23;3050213
40;24;3044896
40;25;3045916
40;26;3044978
40;27;3053419
40;28;3054128
40;29;3049094
40;30;3053622
40;31;3053588
40;32;3050621
40;33;3043079
40;34;3045478
40;35;3052237
40;36;3056447
40;37;3051479
40;38;3054584
40;39;3054247
40;40;3044573
40;41;3055031
40;42;3048255
40;43;3046502
41;1;3053588
41;2;3050624
41;3;3055805
41;4;3053977
41;5;3047793
41;6;3055291
41;7;3050629
41;8;3044086
41;9;3050612
41;10;3050617
41;11;3050626
41;12;3050635
41;13;3049893
41;14;3050987
41;15;3049060
41;16;3055193
41;17;3046815
41;18;3045218
41;19;3054836
41;20;3044693
41;21;3042510
41;22;3053854
41;23;3046202
41;24;3052072
42;1;3046086
42;2;3056411
42;3;3049161
42;4;3046035
42;5;3053436
